country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Netherlands,NLD,2010,Europe,0.7167881832546844,0.657279972797982,0.5405718130881099,0.831,0.8940432492486037,27.8,10.880462
Netherlands,NLD,2015,Europe,0.7428080659734966,0.698670933159205,0.5838876730792653,0.832,0.8969766453111844,28.2,9.584029
Netherlands,NLD,2020,Europe,0.7697884466273344,0.7095367027663222,0.6739004828912146,0.815,0.9010674736792307,26.0,7.7664127
Nigeria,NGA,2010,Africa,0.2501666707240771,0.15485015897507343,0.15891590172182,0.331,0.4808512947381597,35.7,0.67239475
Nigeria,NGA,2015,Africa,0.2830834227726563,0.16124094405690678,0.18863225783557414,0.424,0.49796704239057427,35.9,0.57965857
Norway,NOR,1995,Europe,0.7080638428023256,0.5269870458372521,0.6416115252173933,0.851,0.8735504960871571,26.0,8.825208
Norway,NOR,2000,Europe,0.7281206030915975,0.5587772760943649,0.6485818928599958,0.864,0.8976271541147388,27.4,9.381491
Norway,NOR,2005,Europe,0.7526079393459799,0.6227309376057774,0.6548422497717842,0.864,0.9105929951212814,30.6,9.361427
Norway,NOR,2010,Europe,0.7732427024020019,0.6703183764603866,0.6767162082159431,0.867,0.9089845851221139,25.7,9.338823
Norway,NOR,2015,Europe,0.8046541839613224,0.759571408643651,0.6999612257850487,0.864,0.9126006229705975,27.5,8.7716675
Norway,NOR,2020,Europe,0.8412479179311542,0.8585408706933818,0.7447127488769383,0.857,0.9140404687372664,28.4,7.672967
Pakistan,PAK,1990,Asia,0.2076808553185923,0.22952803173282876,0.0901744585136017,0.2,0.4494036378663067,33.2,0.5839355
Pakistan,PAK,2005,Asia,0.2451565243019734,0.2537734542902585,0.15128079457472896,0.19,0.4952109430580294,31.3,0.7406387
Pakistan,PAK,2010,Asia,0.2738298387632798,0.27569319379658824,0.14502919315917293,0.278,0.5058209482879067,28.8,0.7403367
Pakistan,PAK,2015,Asia,0.27570384091806555,0.29085272824616415,0.15304419528945654,0.246,0.5276502576969667,31.3,0.66682756
Paraguay,PRY,1990,South America,0.2936269439560557,0.32049999160768783,0.19192932771288573,0.213,0.5673285667316523,40.8,0.5277272
Paraguay,PRY,1995,South America,0.3544832889484242,0.33594719951961083,0.20790419411336528,0.389,0.5811646486092025,58.1,0.8570563
Paraguay,PRY,2005,South America,0.3903445742483171,0.35983616725720247,0.2587751908879723,0.439,0.5679375952244137,51.4,0.6924381
Paraguay,PRY,2010,South America,0.4202802451509105,0.3834810509909028,0.2659388857173859,0.513,0.5963658810042874,51.0,0.873277
Paraguay,PRY,2015,South America,0.41952898840841946,0.40855887758295617,0.2886315505940866,0.421,0.6239752294386344,47.6,0.9815504
Paraguay,PRY,2020,South America,0.43498343073817797,0.408378408770156,0.3299514972657738,0.421,0.6310966649187124,43.5,1.1272037
Peru,PER,2000,South America,0.3323506918619936,0.3581390112411423,0.2998211466757324,0.193,0.5887286198744188,49.1,1.0781703
Peru,PER,2005,South America,0.49150510551483206,0.4044421078362379,0.35535490478567466,0.663,0.6124630968770025,50.4,1.0789979
Peru,PER,2010,South America,0.4938713054503046,0.41934849939440255,0.3304427114349182,0.654,0.6564568079589834,45.5,1.4613583
Peru,PER,2015,South America,0.5178996651755896,0.4637498510905212,0.3391880270572943,0.669,0.6836473052566902,43.4,1.6154937
Peru,PER,2020,South America,0.5273402050605597,0.4183934036654099,0.39732433538259726,0.692,0.6722447914439066,43.7,1.4384526
Philippines,PHL,2000,Asia,0.3844540798815712,0.34208031186447446,0.27933087452528677,0.446,0.5126205556166106,47.7,0.8975363
